stabilization_window_s,gap_duration_s,gap_relation,connections_before,connections_after,connections_survived,pct_lost,replicas_before,replicas_after,config,run
120,105,below,800,800,True,0.0,5,8,window120s_gap105s,run_1
120,105,below,800,800,True,0.0,6,7,window120s_gap105s,run_2
120,105,below,795,800,True,-0.6,5,7,window120s_gap105s,run_3
120,180,above,800,676,False,15.5,6,3,window120s_gap180s,run_1
120,180,above,800,709,False,11.4,6,3,window120s_gap180s,run_2
120,180,above,800,765,True,4.4,5,4,window120s_gap180s,run_3
300,285,below,800,800,True,0.0,5,7,window300s_gap285s,run_1
300,285,below,800,800,True,0.0,6,8,window300s_gap285s,run_2
300,285,below,800,800,True,0.0,6,8,window300s_gap285s,run_3
300,360,above,800,361,False,54.9,5,3,window300s_gap360s,run_1
300,360,above,800,787,True,1.6,6,4,window300s_gap360s,run_2
300,360,above,800,455,False,43.1,4,4,window300s_gap360s,run_3
30,15,below,800,800,True,0.0,5,7,window30s_gap15s,run_1
30,15,below,800,800,True,0.0,5,7,window30s_gap15s,run_2
30,15,below,800,800,True,0.0,6,7,window30s_gap15s,run_3
30,90,above,800,703,False,12.1,6,3,window30s_gap90s,run_1
30,90,above,800,800,True,0.0,5,3,window30s_gap90s,run_2
30,90,above,800,773,True,3.4,6,4,window30s_gap90s,run_3
60,120,above,800,653,False,18.4,5,3,window60s_gap120s,run_1
60,120,above,800,761,True,4.9,4,3,window60s_gap120s,run_2
60,120,above,800,741,True,7.4,5,3,window60s_gap120s,run_3
60,45,below,800,800,True,0.0,5,7,window60s_gap45s,run_1
60,45,below,800,800,True,0.0,6,8,window60s_gap45s,run_2
60,45,below,800,800,True,0.0,5,7,window60s_gap45s,run_3
