timestamp,cpu_millicores
1781208484,18
1781208489,2
1781208494,2
1781208499,2
1781208504,1
1781208509,1
1781208514,1
1781208519,10
1781208524,10
1781208529,10
1781208534,93
1781208539,93
1781208544,93
1781208549,185
1781208554,185
1781208559,185
1781208564,262
1781208569,262
1781208574,262
1781208580,364
1781208585,364
1781208590,364
1781208595,387
1781208600,387
1781208605,387
1781208610,468
1781208615,468
1781208620,468
1781208625,472
1781208630,472
1781208635,472
1781208640,167
1781208645,167
1781208650,167
1781208655,17
1781208660,17
1781208665,17
1781208670,16
1781208675,16
1781208680,16
1781208685,17
1781208690,17
1781208695,17
1781208701,17
1781208706,17
1781208711,17
1781208716,17
1781208721,17
1781208726,17
1781208731,16
1781208736,16
1781208741,16
