timestamp,cpu_percent,replicas
1781204414,1.0,2
1781204419,1.0,2
1781204424,1.0,2
1781204429,1.0,2
1781204434,1.0,2
1781204439,1.0,2
1781204445,1.0,2
1781204450,1.0,2
1781204455,1.0,2
1781204460,13.0,2
1781204465,13.0,2
1781204470,13.0,2
1781204475,48.0,2
1781204480,48.0,2
1781204485,48.0,2
1781204490,65.0,2
1781204495,65.0,2
1781204500,65.0,2
1781204505,116.0,2
1781204510,116.0,2
1781204515,116.0,2
1781204520,141.0,4
1781204525,141.0,4
1781204530,141.0,4
1781204535,97.0,5
1781204540,97.0,5
1781204545,97.0,5
1781204550,104.0,7
1781204555,104.0,7
1781204560,104.0,7
1781204566,72.0,7
1781204571,72.0,7
1781204576,72.0,7
1781204581,37.0,7
