timestamp,cpu_millicores
1777395254,58
1777395259,58
1777395264,58
1777395269,2
1777395274,2
1777395279,2
1777395284,6
1777395289,6
1777395294,6
1777395299,14
1777395304,14
1777395309,14
1777395314,48
1777395319,48
1777395324,48
1777395329,31
1777395334,31
1777395339,31
1777395345,61
1777395350,61
1777395355,61
1777395360,96
1777395365,96
1777395370,96
1777395375,64
1777395380,64
1777395385,64
1777395390,45
1777395395,45
1777395400,45
1777395405,26
1777395410,26
1777395415,26
1777395420,18
1777395425,18
1777395430,18
1777395435,17
1777395440,17
1777395445,17
1777395450,16
1777395456,16
1777395461,16
1777395466,35
1777395471,35
1777395476,35
1777395481,8
1777395486,8
1777395491,8
1777395496,8
1777395501,8
1777395506,8
1777395511,8
1777395516,8
1777395521,8
1777395526,8
1777395531,8
1777395536,8
1777395541,16
1777395546,16
1777395551,16
1777395556,23
1777395561,23
1777395567,23
1777395572,29
1777395577,29
1777395582,29
1777395587,34
1777395592,34
1777395597,34
1777395602,57
1777395607,57
1777395612,57
1777395617,62
1777395622,62
1777395627,62
1777395632,73
1777395637,73
1777395642,73
1777395647,43
1777395652,43
1777395657,43
1777395663,19
1777395668,19
1777395673,18
1777395678,18
1777395683,18
1777395688,19
1777395693,19
1777395698,19
1777395703,28
1777395708,28
1777395713,28
1777395718,18
1777395723,18
1777395728,18
1777395733,10
1777395738,10
1777395743,10
1777395748,10
1777395753,10
1777395758,10
1777395764,9
1777395769,9
1777395774,8
1777395779,8
1777395784,8
1777395789,8
1777395794,7
1777395799,7
1777395804,7
1777395809,5
1777395814,5
1777395819,5
1777395824,7
1777395829,7
1777395834,7
1777395839,7
1777395844,5
1777395849,4
1777395854,1
