timestamp,active_connections,reconnection_rate
1777378644,0.0,0.0
1777378649,0.0,0.0
1777378654,0.0,0.0
1777378659,43.0,0.0
1777378664,110.0,0.0
1777378669,110.0,0.0
1777378674,248.0,0.0
1777378679,248.0,0.0
1777378684,248.0,0.0
1777378689,378.0,0.0
1777378694,384.0,0.0
1777378700,384.0,0.0
1777378705,472.0,0.0
1777378710,523.0,0.0
1777378715,523.0,0.0
1777378720,605.0,0.0
1777378725,658.0,0.0
1777378730,658.0,0.0
1777378735,747.0,0.0
1777378740,775.0,0.0
1777378745,775.0,0.0
1777378750,800.0,0.0
1777378755,800.0,0.0
1777378760,800.0,0.0
1777378765,800.0,0.0
1777378770,800.0,0.0
1777378775,800.0,0.0
1777378780,755.0,0.0
1777378785,755.0,0.0
1777378790,755.0,0.0
1777378795,755.0,0.0
1777378800,755.0,0.0
1777378805,755.0,0.0
1777378810,755.0,0.0
1777378816,755.0,0.0
1777378821,755.0,0.0
1777378826,660.0,0.0
1777378831,617.0,0.0
1777378836,500.0,0.0
1777378841,0.0,0.0
1777378846,0.0,0.0
1777378851,0.0,0.0
1777378856,0.0,0.0
1777378861,0.0,0.0
1777378866,0.0,0.0
1777378871,0.0,0.0
1777378876,0.0,0.0
1777378881,0.0,0.0
1777378886,0.0,0.0
1777378891,3.0,0.0
1777378896,57.0,0.0
1777378901,103.0,0.0
1777378906,117.0,0.0
1777378911,184.0,0.0
1777378916,235.0,0.0
1777378921,249.0,0.0
1777378926,319.0,0.0
1777378931,371.0,0.0
1777378936,381.0,0.0
1777378942,468.0,0.0
1777378947,501.0,0.0
1777378952,519.0,0.0
1777378957,606.0,0.0
1777378962,623.0,0.0
1777378967,647.0,0.0
1777378972,725.0,0.0
1777378977,759.0,0.0
1777378982,806.0,0.0
1777378987,894.0,0.0
1777378992,911.0,0.0
1777378997,859.0,0.0
1777379002,901.0,0.0
1777379007,838.0,0.0
1777379012,836.0,0.0
1777379017,736.0,0.0
1777379022,733.0,0.0
1777379027,733.0,0.0
1777379032,733.0,0.0
1777379037,733.0,0.0
1777379042,733.0,0.0
1777379047,733.0,0.0
1777379053,733.0,0.0
1777379058,733.0,0.0
1777379063,733.0,0.0
1777379068,733.0,0.0
1777379073,595.0,0.0
1777379078,137.0,0.0
1777379083,0.0,0.0
1777379088,0.0,0.0
1777379093,0.0,0.0
1777379098,0.0,0.0
1777379103,0.0,0.0
1777379108,0.0,0.0
1777379113,0.0,0.0
1777379118,0.0,0.0
1777379123,0.0,0.0
1777379128,0.0,0.0
1777379133,0.0,0.0
1777379138,0.0,0.0
1777379143,0.0,0.0
1777379148,0.0,0.0
1777379153,0.0,0.0
1777379158,0.0,0.0
1777379163,0.0,0.0
1777379168,0.0,0.0
1777379174,0.0,0.0
1777379179,0.0,0.0
1777379184,0.0,0.0
1777379189,0.0,0.0
1777379194,0.0,0.0
1777379199,0.0,0.0
1777379204,0.0,0.0
1777379209,0.0,0.0
1777379214,0.0,0.0
