timestamp,active_connections
1783192462,0
1783192467,17
1783192472,42
1783192477,63
1783192482,90
1783192487,109
1783192492,133
1783192497,155
1783192502,173
1783192507,191
1783192512,201
1783192517,208
1783192522,221
1783192527,233
1783192532,238
1783192537,244
1783192542,251
1783192547,256
1783192552,0
1783192558,5
1783192563,11
1783192568,16
1783192573,20
1783192578,21
1783192583,26
1783192588,30
1783192593,37
1783192598,43
1783192603,50
1783192608,55
1783192613,61
1783192618,69
1783192623,75
1783192628,81
1783192633,83
1783192638,89
1783192643,0
1783192648,2
1783192653,5
1783192658,13
1783192663,18
1783192668,22
1783192673,26
1783192678,30
1783192683,35
1783192688,36
1783192693,42
1783192698,46
1783192703,53
1783192708,57
1783192713,61
1783192718,67
1783192723,71
1783192728,80
1783192733,0
1783192738,2
1783192743,5
1783192748,9
1783192753,10
1783192758,17
1783192763,26
1783192768,29
1783192773,31
1783192778,36
1783192783,40
1783192789,41
1783192794,44
1783192799,46
1783192804,49
1783192809,57
1783192814,61
1783192819,64
1783192824,0
1783192829,3
1783192834,9
1783192839,12
1783192844,15
1783192849,20
1783192854,22
1783192859,26
1783192864,29
1783192869,32
1783192874,38
1783192879,46
1783192884,49
1783192889,53
1783192894,59
1783192899,60
1783192904,65
1783192909,70
1783192914,0
1783192919,0
1783192924,0
1783192929,0
1783192934,0
1783192939,0
1783192944,0
1783192949,0
1783192954,0
1783192959,0
1783192964,0
1783192969,0
1783192974,0
1783192979,0
1783192984,0
1783192989,0
1783192994,0
1783192999,0
1783193004,0
1783193009,0
1783193014,0
1783193019,0
1783193024,0
1783193030,0
1783193035,0
1783193040,0
1783193045,0
1783193050,0
1783193055,0
1783193060,0
1783193065,0
1783193070,0
1783193075,0
1783193080,0
1783193085,0
1783193090,0
1783193095,0
1783193100,0
1783193105,0
1783193110,0
1783193115,0
1783193120,0
1783193125,0
1783193130,0
1783193135,0
1783193140,0
1783193145,0
1783193150,0
1783193155,0
1783193160,0
1783193165,0
1783193170,0
1783193175,0
1783193180,0
1783193185,0
1783193190,0
1783193195,0
1783193200,0
1783193205,0
1783193210,0
1783193215,0
1783193220,0
1783193225,0
1783193230,0
1783193235,0
1783193240,0
1783193245,0
1783193250,0
1783193255,0
