timestamp,cpu_percent,replicas
1783192483,33.0,2
1783192488,33.0,2
1783192493,33.0,2
1783192498,77.0,2
1783192503,77.0,2
1783192508,77.0,2
1783192513,99.0,3
1783192518,99.0,3
1783192524,99.0,3
1783192529,109.0,4
1783192534,109.0,4
1783192539,109.0,4
1783192544,115.0,6
1783192549,115.0,6
1783192554,95.0,8
1783192559,95.0,8
1783192565,95.0,8
1783192570,17.0,10
1783192575,17.0,10
1783192580,17.0,10
1783192585,21.0,10
1783192590,21.0,10
1783192595,21.0,10
1783192601,22.0,10
1783192606,22.0,10
1783192611,22.0,10
1783192616,34.0,10
1783192621,34.0,10
1783192626,34.0,10
1783192631,42.0,10
1783192637,42.0,10
1783192642,42.0,10
1783192647,52.0,10
1783192652,52.0,10
1783192657,52.0,10
1783192662,30.0,10
1783192667,30.0,10
1783192672,30.0,10
1783192677,14.0,10
1783192682,14.0,10
1783192688,14.0,10
1783192693,22.0,10
1783192698,22.0,10
1783192703,22.0,10
1783192708,32.0,10
1783192713,32.0,10
1783192718,32.0,10
1783192723,43.0,10
1783192729,43.0,10
1783192734,43.0,10
1783192739,52.0,10
1783192744,52.0,10
1783192749,52.0,10
1783192754,38.0,10
1783192759,38.0,10
1783192764,38.0,10
1783192769,14.0,10
1783192775,14.0,10
1783192780,22.0,10
1783192785,22.0,10
1783192790,22.0,10
1783192795,34.0,10
1783192800,34.0,10
1783192805,34.0,10
1783192811,47.0,10
1783192816,47.0,10
1783192821,47.0,10
1783192826,57.0,10
1783192831,57.0,10
1783192836,57.0,10
1783192841,32.0,10
1783192846,32.0,10
1783192851,32.0,10
1783192857,13.0,10
1783192862,13.0,10
1783192867,13.0,10
1783192872,20.0,10
1783192877,20.0,10
1783192882,20.0,10
1783192887,31.0,10
1783192893,31.0,10
1783192898,31.0,10
1783192903,41.0,10
1783192908,41.0,10
1783192913,41.0,10
1783192918,53.0,10
1783192923,53.0,10
1783192929,53.0,10
1783192934,48.0,10
1783192939,48.0,10
1783192944,48.0,10
1783192949,5.0,10
1783192954,5.0,10
1783192959,5.0,10
1783192964,0.0,10
1783192970,0.0,10
1783192975,0.0,10
1783192980,0.0,10
1783192985,0.0,10
1783192990,0.0,10
1783192995,0.0,10
1783193000,0.0,10
1783193005,0.0,10
1783193010,0.0,10
1783193016,0.0,10
1783193021,0.0,10
1783193026,0.0,10
1783193031,0.0,10
1783193036,0.0,10
1783193041,0.0,10
1783193046,0.0,10
1783193051,0.0,10
1783193057,0.0,10
1783193062,0.0,10
1783193067,0.0,10
1783193072,0.0,10
1783193077,0.0,10
1783193082,0.0,10
1783193087,0.0,10
1783193092,0.0,10
1783193097,0.0,10
1783193102,0.0,10
1783193108,0.0,10
1783193113,0.0,10
1783193118,0.0,10
1783193123,0.0,10
1783193128,0.0,10
1783193133,0.0,10
1783193138,0.0,10
1783193143,0.0,9
1783193149,0.0,9
1783193154,0.0,9
1783193159,0.0,9
1783193164,0.0,9
1783193169,0.0,9
1783193174,0.0,9
1783193179,0.0,9
1783193184,0.0,9
1783193189,0.0,9
1783193195,0.0,9
1783193200,0.0,9
1783193205,0.0,9
1783193210,0.0,9
1783193215,0.0,9
1783193220,0.0,9
1783193225,0.0,9
1783193230,0.0,8
1783193235,0.0,8
1783193241,0.0,8
1783193246,0.0,2
1783193251,0.0,2
1783193256,0.0,2
