timestamp,pod,cpu_millicores
1783193268,websocket-server-5d44fc8b6-7gmjr,0
1783193268,websocket-server-5d44fc8b6-drj5f,0
1783193273,websocket-server-5d44fc8b6-7gmjr,0
1783193273,websocket-server-5d44fc8b6-drj5f,0
1783193278,websocket-server-5d44fc8b6-7gmjr,0
1783193278,websocket-server-5d44fc8b6-drj5f,0
1783193284,websocket-server-5d44fc8b6-7gmjr,0
1783193284,websocket-server-5d44fc8b6-drj5f,0
1783193289,websocket-loadgen-9qdgc,108
1783193289,websocket-server-5d44fc8b6-7gmjr,0
1783193289,websocket-server-5d44fc8b6-drj5f,0
1783193289,websocket-server-5d44fc8b6-gs4dl,66
1783193289,websocket-server-5d44fc8b6-lkmg6,48
1783193294,websocket-loadgen-9qdgc,108
1783193294,websocket-server-5d44fc8b6-gs4dl,66
1783193294,websocket-server-5d44fc8b6-lkmg6,48
1783193299,websocket-loadgen-9qdgc,108
1783193299,websocket-server-5d44fc8b6-gs4dl,66
1783193299,websocket-server-5d44fc8b6-lkmg6,48
1783193304,websocket-loadgen-9qdgc,51
1783193304,websocket-server-5d44fc8b6-gs4dl,136
1783193304,websocket-server-5d44fc8b6-lkmg6,125
1783193309,websocket-loadgen-9qdgc,51
1783193309,websocket-server-5d44fc8b6-gs4dl,136
1783193309,websocket-server-5d44fc8b6-lkmg6,125
1783193314,websocket-loadgen-9qdgc,51
1783193314,websocket-server-5d44fc8b6-gs4dl,136
1783193314,websocket-server-5d44fc8b6-lkmg6,125
1783193319,websocket-loadgen-9qdgc,51
1783193319,websocket-server-5d44fc8b6-gs4dl,235
1783193319,websocket-server-5d44fc8b6-lkmg6,208
1783193324,websocket-loadgen-9qdgc,51
1783193324,websocket-server-5d44fc8b6-gs4dl,235
1783193324,websocket-server-5d44fc8b6-lkmg6,208
1783193330,websocket-loadgen-9qdgc,51
1783193330,websocket-server-5d44fc8b6-gs4dl,235
1783193330,websocket-server-5d44fc8b6-lkmg6,208
1783193335,websocket-loadgen-9qdgc,68
1783193335,websocket-server-5d44fc8b6-gs4dl,333
1783193335,websocket-server-5d44fc8b6-lkmg6,308
1783193335,websocket-server-5d44fc8b6-sjr7r,80
1783193335,websocket-server-5d44fc8b6-xgkzz,74
1783193340,websocket-loadgen-9qdgc,68
1783193340,websocket-server-5d44fc8b6-gs4dl,333
1783193340,websocket-server-5d44fc8b6-lkmg6,308
1783193340,websocket-server-5d44fc8b6-sjr7r,80
1783193340,websocket-server-5d44fc8b6-xgkzz,74
1783193345,websocket-loadgen-9qdgc,68
1783193345,websocket-server-5d44fc8b6-gs4dl,333
1783193345,websocket-server-5d44fc8b6-lkmg6,308
1783193345,websocket-server-5d44fc8b6-sjr7r,80
1783193345,websocket-server-5d44fc8b6-xgkzz,74
1783193350,websocket-loadgen-9qdgc,85
1783193350,websocket-server-5d44fc8b6-7fc57,73
1783193350,websocket-server-5d44fc8b6-gs4dl,369
1783193350,websocket-server-5d44fc8b6-lkmg6,372
1783193350,websocket-server-5d44fc8b6-mmbg7,71
1783193350,websocket-server-5d44fc8b6-sjr7r,77
1783193350,websocket-server-5d44fc8b6-xgkzz,68
1783193355,websocket-loadgen-9qdgc,85
1783193355,websocket-server-5d44fc8b6-7fc57,73
1783193355,websocket-server-5d44fc8b6-gs4dl,369
1783193355,websocket-server-5d44fc8b6-lkmg6,372
1783193355,websocket-server-5d44fc8b6-mmbg7,71
1783193355,websocket-server-5d44fc8b6-sjr7r,77
1783193355,websocket-server-5d44fc8b6-xgkzz,68
1783193360,websocket-loadgen-9qdgc,85
1783193360,websocket-server-5d44fc8b6-7fc57,73
1783193360,websocket-server-5d44fc8b6-gs4dl,369
1783193360,websocket-server-5d44fc8b6-lkmg6,372
1783193360,websocket-server-5d44fc8b6-mmbg7,71
1783193360,websocket-server-5d44fc8b6-sjr7r,77
1783193360,websocket-server-5d44fc8b6-xgkzz,68
1783193366,websocket-server-5d44fc8b6-7fc57,67
1783193366,websocket-server-5d44fc8b6-fwg58,67
1783193366,websocket-server-5d44fc8b6-gs4dl,428
1783193366,websocket-server-5d44fc8b6-lkmg6,433
1783193366,websocket-server-5d44fc8b6-mmbg7,46
1783193366,websocket-server-5d44fc8b6-sjr7r,81
1783193366,websocket-server-5d44fc8b6-xgkzz,92
1783193371,websocket-server-5d44fc8b6-7fc57,67
1783193371,websocket-server-5d44fc8b6-fwg58,67
1783193371,websocket-server-5d44fc8b6-gs4dl,428
1783193371,websocket-server-5d44fc8b6-lkmg6,433
1783193371,websocket-server-5d44fc8b6-mmbg7,46
1783193371,websocket-server-5d44fc8b6-sjr7r,81
1783193371,websocket-server-5d44fc8b6-xgkzz,92
1783193376,websocket-server-5d44fc8b6-7fc57,67
1783193376,websocket-server-5d44fc8b6-fwg58,67
1783193376,websocket-server-5d44fc8b6-gs4dl,428
1783193376,websocket-server-5d44fc8b6-lkmg6,433
1783193376,websocket-server-5d44fc8b6-mmbg7,46
1783193376,websocket-server-5d44fc8b6-sjr7r,81
1783193376,websocket-server-5d44fc8b6-xgkzz,92
1783193381,websocket-loadgen-8x7kf,119
1783193381,websocket-server-5d44fc8b6-7fc57,43
1783193381,websocket-server-5d44fc8b6-b6bk2,64
1783193381,websocket-server-5d44fc8b6-fwg58,63
1783193381,websocket-server-5d44fc8b6-gs4dl,189
1783193381,websocket-server-5d44fc8b6-lkmg6,227
1783193381,websocket-server-5d44fc8b6-mmbg7,46
1783193381,websocket-server-5d44fc8b6-nrxc4,59
1783193381,websocket-server-5d44fc8b6-sjr7r,84
1783193381,websocket-server-5d44fc8b6-vg2n6,59
1783193381,websocket-server-5d44fc8b6-xgkzz,84
1783193386,websocket-loadgen-8x7kf,119
1783193386,websocket-server-5d44fc8b6-7fc57,43
1783193386,websocket-server-5d44fc8b6-b6bk2,64
1783193386,websocket-server-5d44fc8b6-fwg58,63
1783193386,websocket-server-5d44fc8b6-gs4dl,189
1783193386,websocket-server-5d44fc8b6-lkmg6,227
1783193386,websocket-server-5d44fc8b6-mmbg7,46
1783193386,websocket-server-5d44fc8b6-nrxc4,59
1783193386,websocket-server-5d44fc8b6-sjr7r,84
1783193386,websocket-server-5d44fc8b6-vg2n6,59
1783193386,websocket-server-5d44fc8b6-xgkzz,84
1783193391,websocket-loadgen-8x7kf,119
1783193391,websocket-server-5d44fc8b6-7fc57,43
1783193391,websocket-server-5d44fc8b6-b6bk2,64
1783193391,websocket-server-5d44fc8b6-fwg58,63
1783193391,websocket-server-5d44fc8b6-gs4dl,189
1783193391,websocket-server-5d44fc8b6-lkmg6,227
1783193391,websocket-server-5d44fc8b6-mmbg7,46
1783193391,websocket-server-5d44fc8b6-nrxc4,59
1783193391,websocket-server-5d44fc8b6-sjr7r,84
1783193391,websocket-server-5d44fc8b6-vg2n6,59
1783193391,websocket-server-5d44fc8b6-xgkzz,84
1783193396,websocket-loadgen-8x7kf,119
1783193396,websocket-server-5d44fc8b6-7fc57,22
1783193396,websocket-server-5d44fc8b6-b6bk2,64
1783193396,websocket-server-5d44fc8b6-fwg58,17
1783193396,websocket-server-5d44fc8b6-gs4dl,189
1783193396,websocket-server-5d44fc8b6-lkmg6,33
1783193396,websocket-server-5d44fc8b6-mmbg7,31
1783193396,websocket-server-5d44fc8b6-nrxc4,56
1783193396,websocket-server-5d44fc8b6-sjr7r,24
1783193396,websocket-server-5d44fc8b6-vg2n6,59
1783193396,websocket-server-5d44fc8b6-xgkzz,19
1783193401,websocket-loadgen-8x7kf,119
1783193401,websocket-server-5d44fc8b6-7fc57,22
1783193401,websocket-server-5d44fc8b6-b6bk2,64
1783193401,websocket-server-5d44fc8b6-fwg58,17
1783193401,websocket-server-5d44fc8b6-gs4dl,189
1783193401,websocket-server-5d44fc8b6-lkmg6,33
1783193401,websocket-server-5d44fc8b6-mmbg7,31
1783193401,websocket-server-5d44fc8b6-nrxc4,56
1783193401,websocket-server-5d44fc8b6-sjr7r,24
1783193401,websocket-server-5d44fc8b6-vg2n6,59
1783193401,websocket-server-5d44fc8b6-xgkzz,19
1783193406,websocket-loadgen-8x7kf,119
1783193406,websocket-server-5d44fc8b6-7fc57,22
1783193406,websocket-server-5d44fc8b6-b6bk2,64
1783193406,websocket-server-5d44fc8b6-fwg58,17
1783193406,websocket-server-5d44fc8b6-gs4dl,189
1783193406,websocket-server-5d44fc8b6-lkmg6,33
1783193406,websocket-server-5d44fc8b6-mmbg7,31
1783193406,websocket-server-5d44fc8b6-nrxc4,56
1783193406,websocket-server-5d44fc8b6-sjr7r,24
1783193406,websocket-server-5d44fc8b6-vg2n6,59
1783193406,websocket-server-5d44fc8b6-xgkzz,19
1783193412,websocket-loadgen-8x7kf,48
1783193412,websocket-server-5d44fc8b6-7fc57,40
1783193412,websocket-server-5d44fc8b6-b6bk2,23
1783193412,websocket-server-5d44fc8b6-fwg58,39
1783193412,websocket-server-5d44fc8b6-gs4dl,32
1783193412,websocket-server-5d44fc8b6-lkmg6,58
1783193412,websocket-server-5d44fc8b6-mmbg7,31
1783193412,websocket-server-5d44fc8b6-nrxc4,22
1783193412,websocket-server-5d44fc8b6-sjr7r,45
1783193412,websocket-server-5d44fc8b6-vg2n6,29
1783193412,websocket-server-5d44fc8b6-xgkzz,40
1783193417,websocket-loadgen-8x7kf,48
1783193417,websocket-server-5d44fc8b6-7fc57,40
1783193417,websocket-server-5d44fc8b6-b6bk2,23
1783193417,websocket-server-5d44fc8b6-fwg58,39
1783193417,websocket-server-5d44fc8b6-gs4dl,32
1783193417,websocket-server-5d44fc8b6-lkmg6,58
1783193417,websocket-server-5d44fc8b6-mmbg7,31
1783193417,websocket-server-5d44fc8b6-nrxc4,22
1783193417,websocket-server-5d44fc8b6-sjr7r,45
1783193417,websocket-server-5d44fc8b6-vg2n6,29
1783193417,websocket-server-5d44fc8b6-xgkzz,40
1783193422,websocket-loadgen-8x7kf,48
1783193422,websocket-server-5d44fc8b6-7fc57,40
1783193422,websocket-server-5d44fc8b6-b6bk2,23
1783193422,websocket-server-5d44fc8b6-fwg58,39
1783193422,websocket-server-5d44fc8b6-gs4dl,32
1783193422,websocket-server-5d44fc8b6-lkmg6,58
1783193422,websocket-server-5d44fc8b6-mmbg7,31
1783193422,websocket-server-5d44fc8b6-nrxc4,22
1783193422,websocket-server-5d44fc8b6-sjr7r,45
1783193422,websocket-server-5d44fc8b6-vg2n6,29
1783193422,websocket-server-5d44fc8b6-xgkzz,40
1783193427,websocket-loadgen-8x7kf,71
1783193427,websocket-server-5d44fc8b6-7fc57,61
1783193427,websocket-server-5d44fc8b6-b6bk2,54
1783193427,websocket-server-5d44fc8b6-fwg58,71
1783193427,websocket-server-5d44fc8b6-gs4dl,59
1783193427,websocket-server-5d44fc8b6-lkmg6,89
1783193427,websocket-server-5d44fc8b6-mmbg7,58
1783193427,websocket-server-5d44fc8b6-nrxc4,45
1783193427,websocket-server-5d44fc8b6-sjr7r,62
1783193427,websocket-server-5d44fc8b6-vg2n6,57
1783193427,websocket-server-5d44fc8b6-xgkzz,60
1783193432,websocket-loadgen-8x7kf,71
1783193432,websocket-server-5d44fc8b6-7fc57,61
1783193432,websocket-server-5d44fc8b6-b6bk2,54
1783193432,websocket-server-5d44fc8b6-fwg58,71
1783193432,websocket-server-5d44fc8b6-gs4dl,59
1783193432,websocket-server-5d44fc8b6-lkmg6,89
1783193432,websocket-server-5d44fc8b6-mmbg7,58
1783193432,websocket-server-5d44fc8b6-nrxc4,45
1783193432,websocket-server-5d44fc8b6-sjr7r,62
1783193432,websocket-server-5d44fc8b6-vg2n6,57
1783193432,websocket-server-5d44fc8b6-xgkzz,60
1783193437,websocket-loadgen-8x7kf,71
1783193437,websocket-server-5d44fc8b6-7fc57,61
1783193437,websocket-server-5d44fc8b6-b6bk2,54
1783193437,websocket-server-5d44fc8b6-fwg58,71
1783193437,websocket-server-5d44fc8b6-gs4dl,59
1783193437,websocket-server-5d44fc8b6-lkmg6,89
1783193437,websocket-server-5d44fc8b6-mmbg7,58
1783193437,websocket-server-5d44fc8b6-nrxc4,45
1783193437,websocket-server-5d44fc8b6-sjr7r,62
1783193437,websocket-server-5d44fc8b6-vg2n6,57
1783193437,websocket-server-5d44fc8b6-xgkzz,60
1783193442,websocket-loadgen-8x7kf,71
1783193442,websocket-server-5d44fc8b6-7fc57,92
1783193442,websocket-server-5d44fc8b6-b6bk2,85
1783193442,websocket-server-5d44fc8b6-fwg58,110
1783193442,websocket-server-5d44fc8b6-gs4dl,87
1783193442,websocket-server-5d44fc8b6-lkmg6,104
1783193442,websocket-server-5d44fc8b6-mmbg7,81
1783193442,websocket-server-5d44fc8b6-nrxc4,69
1783193442,websocket-server-5d44fc8b6-sjr7r,76
1783193442,websocket-server-5d44fc8b6-vg2n6,92
1783193442,websocket-server-5d44fc8b6-xgkzz,93
1783193447,websocket-loadgen-8x7kf,71
1783193447,websocket-server-5d44fc8b6-7fc57,92
