timestamp,cpu_percent,replicas
1783197599,15.0,2
1783197604,15.0,2
1783197610,15.0,2
1783197615,72.0,2
1783197620,72.0,2
1783197625,72.0,2
1783197630,129.0,3
1783197635,129.0,3
1783197640,129.0,3
1783197646,174.0,5
1783197651,174.0,5
1783197656,174.0,5
1783197661,124.0,6
1783197666,124.0,6
1783197671,124.0,6
1783197676,112.0,9
1783197682,112.0,9
1783197687,112.0,9
1783197692,83.0,9
1783197697,83.0,9
1783197702,83.0,9
1783197707,25.0,9
1783197712,25.0,9
1783197717,25.0,9
1783197723,0.0,9
1783197728,0.0,9
1783197733,0.0,9
1783197738,0.0,9
1783197743,0.0,9
1783197748,0.0,9
1783197753,0.0,9
1783197758,0.0,9
1783197764,11.0,4
1783197769,11.0,4
1783197774,11.0,4
1783197779,38.0,2
1783197784,38.0,2
1783197789,38.0,2
1783197794,62.0,2
1783197799,62.0,2
1783197805,62.0,2
1783197810,152.0,2
1783197815,152.0,2
1783197820,152.0,2
1783197825,207.0,6
1783197830,207.0,6
1783197836,207.0,6
1783197841,129.0,6
1783197846,129.0,6
1783197851,129.0,6
1783197856,28.0,9
1783197861,28.0,9
1783197866,28.0,9
1783197871,0.0,9
1783197877,0.0,9
1783197882,0.0,9
1783197887,0.0,9
1783197892,0.0,9
1783197897,0.0,9
1783197902,0.0,9
1783197907,0.0,9
1783197912,0.0,9
1783197918,5.0,8
1783197923,5.0,8
1783197928,21.0,8
1783197933,21.0,8
1783197938,21.0,8
1783197943,32.0,3
1783197948,32.0,3
1783197954,32.0,3
1783197959,55.0,3
1783197964,55.0,3
1783197969,55.0,3
1783197974,98.0,3
1783197979,98.0,3
1783197984,98.0,3
1783197989,156.0,5
1783197995,156.0,5
1783198000,156.0,5
1783198005,55.0,7
1783198010,55.0,7
1783198015,55.0,7
1783198020,0.0,7
1783198025,0.0,7
1783198030,0.0,7
1783198036,0.0,7
1783198041,0.0,7
1783198046,0.0,7
1783198051,0.0,7
1783198056,0.0,7
1783198061,0.0,7
1783198066,10.0,7
1783198072,10.0,7
1783198077,10.0,7
1783198082,29.0,2
1783198087,29.0,2
1783198092,29.0,2
1783198097,52.0,2
1783198102,52.0,2
1783198107,52.0,2
1783198112,98.0,2
1783198118,98.0,2
1783198123,185.0,4
1783198128,185.0,4
1783198133,185.0,4
1783198138,204.0,6
1783198143,204.0,6
1783198148,204.0,6
1783198153,60.0,7
1783198159,60.0,7
1783198164,60.0,7
1783198169,0.0,7
1783198174,0.0,7
1783198179,0.0,7
1783198184,0.0,7
1783198189,0.0,7
1783198194,0.0,7
1783198199,1.0,7
1783198205,1.0,7
1783198210,1.0,7
1783198215,5.0,7
1783198220,5.0,7
1783198225,5.0,7
1783198230,22.0,2
1783198235,22.0,2
1783198240,22.0,2
1783198245,55.0,2
1783198250,55.0,2
1783198256,55.0,2
1783198261,112.0,2
1783198266,112.0,2
1783198271,112.0,2
1783198276,170.0,4
1783198281,170.0,4
1783198286,170.0,4
1783198291,145.0,6
1783198297,145.0,6
1783198302,145.0,6
1783198307,10.0,8
1783198312,10.0,8
1783198317,10.0,8
1783198322,0.0,8
1783198327,0.0,8
1783198332,0.0,8
1783198337,0.0,8
1783198342,0.0,8
1783198348,0.0,8
1783198353,0.0,8
1783198358,0.0,8
1783198363,0.0,8
1783198368,0.0,5
1783198373,0.0,5
1783198378,0.0,2
1783198383,0.0,2
1783198389,0.0,2
1783198394,0.0,2
