timestamp,active_connections
1783195501,0
1783195506,20
1783195511,43
1783195516,68
1783195521,90
1783195526,112
1783195531,133
1783195536,157
1783195541,180
1783195546,194
1783195551,219
1783195556,241
1783195561,254
1783195566,268
1783195571,277
1783195577,287
1783195582,293
1783195587,301
1783195593,0
1783195598,0
1783195603,0
1783195608,0
1783195613,0
1783195618,0
1783195623,0
1783195628,0
1783195633,0
1783195638,0
1783195643,0
1783195648,0
1783195653,0
1783195658,3
1783195663,10
1783195668,15
1783195673,20
1783195678,32
1783195683,50
1783195688,71
1783195693,97
1783195698,119
1783195703,144
1783195708,211
1783195713,277
1783195718,300
1783195724,314
1783195730,340
1783195737,359
1783195744,0
1783195749,0
1783195754,0
1783195759,0
1783195764,0
1783195769,0
1783195774,0
1783195780,0
1783195785,0
1783195790,0
1783195795,0
1783195800,0
1783195805,1
1783195810,8
1783195815,14
1783195820,21
1783195825,26
1783195830,47
1783195835,68
1783195840,90
1783195845,111
1783195850,131
1783195855,149
1783195860,234
1783195865,274
1783195870,292
1783195875,311
1783195880,325
1783195885,335
1783195891,340
1783195896,0
1783195901,0
1783195906,0
1783195911,0
1783195916,0
1783195921,0
1783195926,0
1783195931,0
1783195936,0
1783195941,0
1783195946,0
1783195951,0
1783195956,1
1783195961,7
1783195966,13
1783195971,21
1783195976,33
1783195981,55
1783195986,75
1783195991,98
1783195996,125
1783196001,151
1783196006,172
1783196011,259
1783196016,281
1783196021,304
1783196027,321
1783196032,331
1783196037,340
1783196044,0
1783196049,0
1783196054,0
1783196059,0
1783196064,0
1783196069,0
1783196074,0
1783196079,0
1783196084,0
1783196089,0
1783196094,0
1783196099,0
1783196104,2
1783196109,6
1783196114,17
1783196119,19
1783196124,21
1783196129,38
1783196134,58
1783196139,81
1783196144,102
1783196149,120
1783196154,142
1783196159,207
1783196164,267
1783196169,288
1783196174,309
1783196179,330
1783196185,352
1783196190,372
1783196195,0
1783196200,0
1783196205,0
1783196210,0
1783196215,0
1783196220,0
1783196225,0
1783196230,0
1783196235,0
1783196240,0
1783196245,0
1783196250,0
1783196255,0
1783196260,0
1783196265,0
1783196270,0
1783196275,0
1783196280,0
1783196285,0
1783196290,0
1783196295,0
1783196300,0
1783196305,0
1783196310,0
1783196315,0
1783196320,0
