timestamp,pod,cpu_millicores
1783196452,websocket-loadgen-q9cb5,133
1783196452,websocket-server-5d44fc8b6-np5l9,64
1783196452,websocket-server-5d44fc8b6-z8bhc,60
1783196457,websocket-loadgen-q9cb5,133
1783196457,websocket-server-5d44fc8b6-np5l9,64
1783196457,websocket-server-5d44fc8b6-z8bhc,60
1783196463,websocket-loadgen-q9cb5,133
1783196463,websocket-server-5d44fc8b6-np5l9,64
1783196463,websocket-server-5d44fc8b6-z8bhc,60
1783196468,websocket-loadgen-q9cb5,40
1783196468,websocket-server-5d44fc8b6-np5l9,88
1783196468,websocket-server-5d44fc8b6-z8bhc,101
1783196473,websocket-loadgen-q9cb5,40
1783196473,websocket-server-5d44fc8b6-np5l9,88
1783196473,websocket-server-5d44fc8b6-z8bhc,101
1783196478,websocket-loadgen-q9cb5,53
1783196478,websocket-server-5d44fc8b6-np5l9,179
1783196478,websocket-server-5d44fc8b6-z8bhc,101
1783196483,websocket-loadgen-q9cb5,53
1783196483,websocket-server-5d44fc8b6-np5l9,179
1783196483,websocket-server-5d44fc8b6-z8bhc,101
1783196488,websocket-loadgen-q9cb5,53
1783196488,websocket-server-5d44fc8b6-np5l9,179
1783196488,websocket-server-5d44fc8b6-z8bhc,101
1783196493,websocket-loadgen-q9cb5,65
1783196493,websocket-server-5d44fc8b6-np5l9,285
1783196493,websocket-server-5d44fc8b6-z8bhc,223
1783196498,websocket-loadgen-q9cb5,65
1783196498,websocket-server-5d44fc8b6-np5l9,285
1783196498,websocket-server-5d44fc8b6-z8bhc,223
1783196504,websocket-loadgen-q9cb5,65
1783196504,websocket-server-5d44fc8b6-np5l9,285
1783196504,websocket-server-5d44fc8b6-z8bhc,223
1783196509,websocket-loadgen-q9cb5,75
1783196509,websocket-server-5d44fc8b6-764kp,63
1783196509,websocket-server-5d44fc8b6-np5l9,377
1783196509,websocket-server-5d44fc8b6-z8bhc,386
1783196514,websocket-loadgen-q9cb5,75
1783196514,websocket-server-5d44fc8b6-764kp,63
1783196514,websocket-server-5d44fc8b6-np5l9,377
1783196514,websocket-server-5d44fc8b6-z8bhc,386
1783196519,websocket-loadgen-q9cb5,75
1783196519,websocket-server-5d44fc8b6-764kp,63
1783196519,websocket-server-5d44fc8b6-np5l9,377
1783196519,websocket-server-5d44fc8b6-z8bhc,386
1783196524,websocket-loadgen-q9cb5,111
1783196524,websocket-server-5d44fc8b6-2ssnz,79
1783196524,websocket-server-5d44fc8b6-764kp,97
1783196524,websocket-server-5d44fc8b6-hx7fr,75
1783196524,websocket-server-5d44fc8b6-np5l9,492
1783196524,websocket-server-5d44fc8b6-z8bhc,386
1783196529,websocket-server-5d44fc8b6-2ssnz,79
1783196529,websocket-server-5d44fc8b6-764kp,97
1783196529,websocket-server-5d44fc8b6-hx7fr,75
1783196529,websocket-server-5d44fc8b6-np5l9,492
1783196529,websocket-server-5d44fc8b6-z8bhc,386
1783196534,websocket-server-5d44fc8b6-2ssnz,79
1783196534,websocket-server-5d44fc8b6-764kp,97
1783196534,websocket-server-5d44fc8b6-hx7fr,75
1783196534,websocket-server-5d44fc8b6-np5l9,492
1783196534,websocket-server-5d44fc8b6-z8bhc,386
1783196540,websocket-server-5d44fc8b6-2ssnz,44
1783196540,websocket-server-5d44fc8b6-764kp,131
1783196540,websocket-server-5d44fc8b6-857jp,4
1783196540,websocket-server-5d44fc8b6-ft9r4,5
