timestamp,cpu_millicores
1783200552,2
1783200557,2
1783200562,2
1783200567,160
1783200572,160
1783200577,159
1783200582,197
1783200587,197
1783200593,197
1783200598,337
1783200603,337
1783200608,337
1783200613,584
1783200618,584
1783200623,584
1783200628,860
1783200633,860
1783200639,1129
1783200644,1129
1783200649,1036
1783200654,1077
1783200659,1077
1783200664,1077
1783200669,108
1783200674,108
1783200680,108
1783200685,14
1783200690,14
1783200695,14
1783200700,11
1783200705,11
1783200710,11
1783200715,25
1783200721,25
1783200726,25
1783200731,289
1783200736,289
1783200741,289
1783200746,405
1783200751,405
1783200756,215
1783200762,380
1783200767,380
1783200772,380
1783200777,717
1783200782,717
1783200787,717
1783200792,1086
1783200798,997
1783200803,997
1783200808,1208
1783200813,1208
1783200818,1208
1783200823,344
1783200828,344
1783200833,344
1783200838,11
1783200844,11
1783200849,14
1783200854,14
1783200859,14
1783200864,16
1783200869,16
1783200874,16
1783200879,199
1783200885,199
1783200890,199
1783200895,377
1783200900,377
1783200905,184
1783200910,313
1783200915,313
1783200920,227
1783200925,609
1783200931,609
1783200936,609
1783200941,1002
1783200946,904
1783200951,904
1783200956,1200
1783200961,1200
1783200966,1200
1783200972,194
1783200977,194
1783200982,194
1783200987,11
1783200992,11
1783200997,11
1783201002,11
1783201007,11
1783201013,11
1783201018,17
1783201023,17
1783201028,17
1783201033,195
1783201038,195
1783201043,195
1783201048,427
1783201054,274
1783201059,491
1783201064,491
1783201069,328
1783201074,664
1783201079,664
1783201084,664
1783201089,1154
1783201095,1154
1783201100,1050
1783201105,1237
1783201110,1237
1783201115,1237
1783201120,170
1783201125,170
1783201130,170
1783201135,13
1783201141,13
1783201146,13
1783201151,13
1783201156,13
1783201161,13
1783201166,17
1783201171,17
1783201176,17
1783201181,244
1783201187,244
1783201192,244
1783201197,394
1783201202,394
1783201207,208
1783201212,514
1783201218,514
1783201223,514
1783201228,829
1783201233,829
1783201238,829
1783201243,1274
1783201248,1180
1783201254,1180
1783201259,1104
1783201264,1104
1783201269,341
1783201274,341
1783201279,341
1783201284,13
1783201289,13
1783201294,13
1783201300,15
1783201305,15
1783201310,15
1783201315,13
1783201320,13
1783201325,13
1783201330,13
1783201335,13
1783201341,13
1783201346,14
1783201351,14
1783201356,6
1783201361,6
1783201366,6
