timestamp,cpu_millicores
1781202915,17
1781202920,2
1781202925,2
1781202930,2
1781202935,2
1781202940,2
1781202945,2
1781202950,40
1781202955,40
1781202960,40
1781202965,121
1781202971,121
1781202976,121
1781202981,202
1781202986,202
1781202991,202
1781202996,280
1781203001,280
1781203006,280
1781203011,361
1781203016,361
1781203021,361
1781203026,431
1781203031,431
1781203036,431
1781203041,477
1781203046,477
1781203051,477
1781203056,456
1781203061,456
1781203066,456
1781203071,205
1781203077,205
1781203082,205
1781203087,61
1781203092,61
1781203097,61
1781203102,15
1781203107,15
1781203112,15
1781203117,14
1781203122,14
1781203127,14
1781203132,15
1781203137,15
1781203142,15
1781203147,14
1781203152,14
1781203157,11
1781203162,12
1781203167,12
1781203172,11
1781203177,10
1781203182,10
1781203188,10
1781203193,12
1781203198,12
1781203203,12
1781203208,11
1781203213,11
1781203218,10
1781203223,10
1781203228,10
1781203233,10
1781203238,10
1781203243,10
