timestamp,cpu_percent,replicas
1781202915,1.0,2
1781202920,1.0,2
1781202925,1.0,2
1781202930,1.0,2
1781202935,1.0,2
1781202940,1.0,2
1781202945,1.0,2
1781202950,1.0,2
1781202955,1.0,2
1781202960,20.0,2
1781202965,20.0,2
1781202970,20.0,2
1781202975,60.0,2
1781202981,60.0,2
1781202986,60.0,2
1781202991,101.0,2
1781202996,101.0,2
1781203001,101.0,2
1781203006,140.0,4
1781203011,140.0,4
1781203016,140.0,4
1781203021,90.0,5
1781203026,90.0,5
1781203031,90.0,5
1781203036,101.0,6
1781203041,101.0,6
1781203046,101.0,6
1781203051,90.0,7
1781203056,90.0,7
1781203061,90.0,7
1781203066,65.0,7
1781203071,65.0,7
1781203076,65.0,7
1781203081,29.0,7
1781203086,29.0,7
1781203091,29.0,7
1781203096,8.0,7
1781203102,8.0,7
1781203107,8.0,7
1781203112,2.0,7
1781203117,2.0,7
1781203122,2.0,7
1781203127,2.0,7
1781203132,2.0,7
1781203137,2.0,7
1781203142,3.0,4
1781203147,3.0,4
1781203152,3.0,4
1781203157,3.0,3
1781203162,3.0,3
1781203167,3.0,3
1781203172,3.0,3
1781203177,3.0,3
1781203182,3.0,3
1781203187,3.0,3
1781203192,3.0,3
1781203197,3.0,3
1781203202,5.0,2
1781203207,5.0,2
1781203212,5.0,2
1781203217,5.0,2
1781203222,5.0,2
1781203228,5.0,2
1781203233,5.0,2
1781203238,5.0,2
1781203243,5.0,2
