timestamp,active_connections,reconnect_rate
1781205809,0,0
1781205814,0,0
1781205819,0,0
1781205824,0,0
1781205829,0,0
1781205834,30,32.87
1781205839,68,87.00333333333333
1781205844,68,109.73346666666666
1781205849,131,168.71973333333335
1781205854,207,246.70420000000001
1781205859,207,277.84293333333335
1781205864,266,270
1781205869,338,262
1781205874,338,262
1781205879,407,282
1781205884,470,264
1781205889,470,264
1781205894,521,228
1781205899,608,188
1781205904,608,188
1781205909,658,144
1781205914,744,184
1781205919,744,184
1781205924,785,192
1781205929,800,96
1781205934,800,96
1781205939,800,30
1781205944,800,0
1781205949,800,0
1781205954,800,0
1781205959,800,0
1781205964,800,0
1781205969,800,0
1781205974,800,0
1781205979,800,0
1781205984,800,0
1781205989,800,0
1781205994,800,0
1781205999,800,0
1781206004,800,0
1781206009,800,0
1781206014,800,0
1781206019,800,0
1781206024,800,0
1781206029,773,0
1781206034,773,0
1781206039,773,0
1781206044,773,0
1781206049,773,0
