timestamp,active_connections
1777395253,0
1777395258,0
1777395263,0
1777395268,0
1777395273,0
1777395278,25
1777395283,25
1777395288,96
1777395293,160
1777395298,160
1777395304,229
1777395309,286
1777395314,311
1777395319,366
1777395324,415
1777395329,447
1777395334,478
1777395339,553
1777395344,581
1777395349,604
1777395354,696
1777395359,718
1777395364,752
1777395369,793
1777395374,800
1777395379,800
1777395384,800
1777395389,800
1777395394,800
1777395399,800
1777395404,800
1777395409,800
1777395414,800
1777395419,800
1777395424,800
1777395429,800
1777395434,800
1777395439,800
1777395444,800
1777395449,800
1777395454,784
1777395459,376
1777395464,267
1777395469,0
1777395474,0
1777395479,0
1777395484,0
1777395489,0
1777395494,0
1777395499,0
1777395504,0
1777395509,0
1777395514,5
1777395519,30
1777395524,38
1777395529,90
1777395534,157
1777395539,175
1777395544,228
1777395549,298
1777395554,310
1777395559,360
1777395564,420
1777395569,435
1777395574,484
1777395579,561
1777395584,582
1777395589,634
1777395594,694
1777395599,714
1777395604,768
1777395609,827
1777395614,878
1777395619,911
1777395624,865
1777395629,865
1777395634,800
1777395639,800
1777395644,800
1777395649,800
1777395654,800
1777395659,800
1777395664,800
1777395669,800
1777395674,800
1777395679,800
1777395684,800
1777395689,800
1777395694,639
1777395699,267
1777395704,0
1777395709,0
1777395714,0
1777395719,0
1777395724,0
1777395729,0
1777395734,0
1777395740,0
1777395745,0
1777395750,0
1777395755,0
1777395760,0
1777395765,0
1777395770,0
1777395775,0
1777395780,0
1777395785,0
1777395790,0
1777395795,0
1777395800,0
1777395805,0
1777395810,0
1777395815,0
1777395820,0
1777395825,0
1777395830,0
1777395835,0
1777395840,0
1777395845,0
1777395850,0
1777395855,0
