LAST SEEN   TYPE     REASON                    OBJECT                                                MESSAGE
12m         Normal   NodeAllocatableEnforced   node/exp-d-hpa-custom-control-plane                   Updated Node Allocatable limit across pods
12m         Normal   NodeHasSufficientMemory   node/exp-d-hpa-custom-control-plane                   Node exp-d-hpa-custom-control-plane status is now: NodeHasSufficientMemory
12m         Normal   NodeHasNoDiskPressure     node/exp-d-hpa-custom-control-plane                   Node exp-d-hpa-custom-control-plane status is now: NodeHasNoDiskPressure
12m         Normal   NodeHasSufficientPID      node/exp-d-hpa-custom-control-plane                   Node exp-d-hpa-custom-control-plane status is now: NodeHasSufficientPID
12m         Normal   Starting                  node/exp-d-hpa-custom-control-plane                   Starting kubelet.
11m         Normal   RegisteredNode            node/exp-d-hpa-custom-control-plane                   Node exp-d-hpa-custom-control-plane event: Registered Node exp-d-hpa-custom-control-plane in Controller
11m         Normal   NodeHasSufficientPID      node/exp-d-hpa-custom-worker2                         Node exp-d-hpa-custom-worker2 status is now: NodeHasSufficientPID
11m         Normal   Starting                  node/exp-d-hpa-custom-control-plane                   
11m         Normal   NodeHasSufficientMemory   node/exp-d-hpa-custom-worker                          Node exp-d-hpa-custom-worker status is now: NodeHasSufficientMemory
11m         Normal   NodeHasNoDiskPressure     node/exp-d-hpa-custom-worker                          Node exp-d-hpa-custom-worker status is now: NodeHasNoDiskPressure
11m         Normal   NodeHasSufficientPID      node/exp-d-hpa-custom-worker                          Node exp-d-hpa-custom-worker status is now: NodeHasSufficientPID
11m         Normal   Starting                  node/exp-d-hpa-custom-worker2                         Starting kubelet.
11m         Normal   NodeHasNoDiskPressure     node/exp-d-hpa-custom-worker2                         Node exp-d-hpa-custom-worker2 status is now: NodeHasNoDiskPressure
11m         Normal   NodeHasNoDiskPressure     node/exp-d-hpa-custom-worker                          Node exp-d-hpa-custom-worker status is now: NodeHasNoDiskPressure
11m         Normal   NodeHasSufficientPID      node/exp-d-hpa-custom-worker                          Node exp-d-hpa-custom-worker status is now: NodeHasSufficientPID
11m         Normal   NodeAllocatableEnforced   node/exp-d-hpa-custom-worker                          Updated Node Allocatable limit across pods
11m         Normal   NodeAllocatableEnforced   node/exp-d-hpa-custom-worker2                         Updated Node Allocatable limit across pods
11m         Normal   NodeHasSufficientPID      node/exp-d-hpa-custom-worker2                         Node exp-d-hpa-custom-worker2 status is now: NodeHasSufficientPID
11m         Normal   NodeHasSufficientMemory   node/exp-d-hpa-custom-worker2                         Node exp-d-hpa-custom-worker2 status is now: NodeHasSufficientMemory
11m         Normal   NodeHasSufficientMemory   node/exp-d-hpa-custom-worker                          Node exp-d-hpa-custom-worker status is now: NodeHasSufficientMemory
11m         Normal   Starting                  node/exp-d-hpa-custom-worker                          Starting kubelet.
11m         Normal   Starting                  node/exp-d-hpa-custom-worker2                         
11m         Normal   RegisteredNode            node/exp-d-hpa-custom-worker                          Node exp-d-hpa-custom-worker event: Registered Node exp-d-hpa-custom-worker in Controller
