timestamp,active_connections,reconnect_rate
1783198905,0,0
1783198910,2,0
1783198915,2,0
1783198920,58,0
1783198925,131,93.05046666666668
1783198930,131,117.66120000000001
1783198935,182,244.24273333333335
1783198940,262,262
1783198945,262,262
1783198950,334,304
1783198955,390,248
1783198961,407,248
1783198966,468,152
1783198971,507,119.06
1783198976,536,152.101
1783198981,609,192
1783198986,635,166
1783198991,685,201.207
1783198996,732,232.258
1783199001,456,210
1783199006,360,181.1936
1783199011,0,88
1783199016,0,62
1783199021,0,18
1783199026,0,0
1783199031,0,0
1783199036,0,0
1783199041,0,0
1783199046,0,0
1783199051,0,0
1783199056,0,0
1783199061,0,0
1783199066,23,46
1783199072,74,131.09493333333333
1783199077,91,211.55906666666664
1783199082,125,193.91993333333335
1783199087,244,306
1783199092,259,290
1783199097,259,268
1783199102,418,348
1783199107,418,318.00000000000006
1783199112,382,318
1783199117,586,406
1783199122,580,406
1783199127,507,406
1783199132,693,216.5793564070101
1783199137,702,230.69975640701009
1783199142,662,244.8313564070101
1783199147,397,139.58227287265174
1783199152,388,184.3755395393184
1783199157,388,199.52853953931844
1783199162,0,76.00266737796746
1783199167,0,26.00266737796746
1783199172,0,16.00266737796746
1783199178,0,0
1783199183,0,0
1783199188,0,0
1783199193,0,0
1783199198,0,0
1783199203,0,0
1783199208,1,1.0668666666666666
1783199213,8,11.998000000000001
1783199218,18,29.710066666666666
1783199223,103,189.01786666666666
1783199228,125,210.78673333333336
1783199233,150,258.9344
1783199238,254,301.38533333333334
1783199243,254,258
1783199248,249,212
1783199254,397,300
1783199259,428,300
1783199264,419,296
1783199269,533,276
1783199274,591,380.7694
1783199279,600,390
1783199284,652,313.92786666666666
1783199289,708,302.81039999999996
1783199294,685,334.967
1783199299,483,170
1783199304,313,162.59453333333335
1783199309,10,133.88093333333333
1783199314,0,109.3776
1783199319,0,12
1783199325,0,4
1783199330,0,0
1783199335,0,0
1783199340,0,0
1783199345,0,0
1783199350,0,0
1783199355,0,0
1783199360,7,14
1783199365,18,36
1783199370,63,115.2176
1783199375,105,178.67253333333332
1783199380,120,195.42066666666668
1783199385,193,241.189
1783199390,255,280.81573333333336
1783199395,255,270
1783199400,316,246.00000000000003
1783199405,402,294
1783199410,402,294
1783199415,464,343.96560687862427
1783199420,566,357.96560687862427
1783199426,518,357.96560687862427
1783199431,656,324.0276055211042
1783199436,674,256.9238055211042
1783199441,680,308.7064721877709
1783199446,727,271.99480103979204
1783199451,451,221.39020103979203
1783199456,405,201.82613437312537
1783199461,0,88.000800160032
1783199466,0,32.00080016003201
1783199471,0,16.000800160032007
1783199476,0,0
1783199481,0,0
1783199486,0,0
1783199491,0,0
1783199496,0,0
1783199501,0,0
1783199506,0,0
1783199512,2,2.2979333333333334
1783199517,6,9.600866666666667
1783199522,87,154.3592
1783199527,109,190.47893333333334
1783199532,118,210.8846
1783199537,253,305.43553333333335
1783199542,253,273.682
1783199547,253,267.1196
1783199552,364,290
1783199557,394,290
1783199562,388,290
1783199567,520,294
1783199572,555,371.03340000000003
1783199577,553,380
1783199582,659,226.26507530321206
1783199587,641,192.98907530321208
1783199592,687,243.7104086365454
1783199597,478,210.01360544217687
1783199602,382,170.01360544217687
1783199607,317,164.01360544217687
1783199612,0,56
1783199618,0,50
1783199623,0,12
1783199628,0,0
1783199633,0,0
1783199638,0,0
1783199643,0,0
1783199648,0,0
1783199653,0,0
1783199658,0,0
1783199663,0,0
1783199668,0,0
1783199673,0,0
1783199678,0,0
1783199683,0,0
1783199688,0,0
1783199693,0,0
1783199698,0,0
1783199703,0,0
1783199708,0,0
1783199713,0,0
